text,topic
,2.0
<@U01B4H1FQTS> has joined the channel,0.0
<@U01880WS0EA> has joined the channel,1.0
"*Dynamic Filtering*\nConsider the dashboard called Hierarchy as shown in the image.\n\n_*Problem*_\nI have 3 managers with userID: manager-1, manager-2, manager-3\nWhen manager-1 logs in then he/she should see only rows where manager_id=1\n\nCurrently I am achieving this by using the Row Level security feature by setting the clause value as `manager_id = 1`\n\nThe issue with this is that is if 10k managers, I will need to do this 10,000 times.\n\n_*Desired Solution*_\nIs there a way in which I can use a function like `manager_id = get_manager_id()`\nthat captures the managers user name or some identifier then does the RLS based on the condition match.",1.0
"for the other stuf I think having workers in a separate docker and stuff wouldn't be a problem, I'm eager to hear from Craig :slightly_smiling_face: I 'll check xvfb license",1.0
Hi everyone. I'm Syazwan and currently living in Malaysia. I'm working as software engineer and currently using Superset to do data visualization for my team.,2.0
<@U017EQPUWRJ> has joined the channel,1.0
How much of this is already being surfaced from the chart errors?,2.0
<@URE7M8J7L> has joined the channel,0.0
<@U80EFANJE> has joined the channel,2.0
<@U01C1HL994Y> has joined the channel,1.0
,1.0
,2.0
,1.0
,2.0
yess,2.0
our first custom viz plugin\n:superset-loading: :superset:,2.0
<@UHK31ESN4> set the channel topic: :mortar_board:,2.0
tomorrow is for SIP-45 only?,2.0
<@U019BN1MWLD> has joined the channel,1.0
<@UMB4WQHC7> has joined the channel,1.0
,1.0
,1.0
,1.0
,1.0
,1.0
,1.0
,1.0
,1.0
,1.0
<@UH0UPCJVD> has joined the channel,1.0
,1.0
,2.0
<@U8NF3S6GJ> has joined the channel,1.0
<@UUW8GV604> has joined the channel,2.0
,2.0
"Hi all, I am working as Senior Full Stack Developer in a small startup called Pepper Cloud Pvt Ltd, we are using superset for the CRM data visualization in our product.",2.0
"Hi I am trying to figure out the permissions system in Superset, what I am wondering is if its possible to apply permissions in the sqllab area? Specifically I only want certain roles to be able to query a table. It seems like this is not possible",2.0
would be nice to include this one: <https://github.com/apache/incubator-superset/pull/10345> - fixes the slack integration,1.0
"Is there any way I can log the query performance of charts in dashboard? I found this old git issue, but couldn\u2019t find the solution. <https://github.com/apache/incubator-superset/issues/3317>",1.0
,1.0
"Hello, everyone! I'd like to be able to include an interactive filter box to exclude selections (instead of include, which is the default behavior). Is this possible?",1.0
"*Related filters for filter-box*\nSay my table has\n```Group--SubGroup\nA--aa1\nA-aa2\nB-bb1\nB--bb2```\nFilters on the Dashboard are:\n\u2022 Group\n\u2022 SubGroup\nIf, Group = A then dashboard renders values = aa1 &amp; aa2, which is great\nHowever,\nSubGroup filter still shows all values, ie, aa1,aa2,bb1,bb2.\n\nWhat I would like is,\nif, Group = A, then SubGroup=aa1, aa2\n\nIs there a way to currently do this?",0.0
Is there the equivalent of the query log for charts ? I'm particularly looking for logs on errors or timeouts (to identify user experience issues coming from the backend),1.0
Can anyone help me out how can show the amount in Indian Currency like 21M =21 Crores?\,1.0
"Hey all! I figure we'll need to invite more folks here, but this can be home base for starting the discussion about building the new website, and striving towards graduation",1.0
As opposed to?,1.0
"Hi Everyone, my official name is Gabe Fett but you can also call me Boba and I lead talent at Preset. Supporting the community through talent engagement and excited to see so much action in Superset, amazing. If there is ever anything I can do to help. Please reach out to me.",1.0
Any way to hide the chart title for a filter-box?\n```.filter_box .slice-header{\ndisplay:none !important;\n}```\nThat does not work.,1.0
<https://superset.incubator.apache.org/installation.html#a-proper-wsgi-http-server>,2.0
<@U019QEYGHA4> has joined the channel,2.0
